Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,lotName,wafer_id,dieSize,Real,Center,Donut,Edge-Loc,Edge-Ring,Loc,Near-full,Random,Scratch
pass,X1-1,X2-1,X3-1,X4-1,X5-1,0.025285945,50,48,105,3.0,2.0,0.45,8,1600,8,0.8,lot70,25,1507,Center,0.999999523162842,5.778933442890378e-10,3.5607274906368502e-09,4.7100632422081296e-11,5.12538974817289e-07,1.1082866395451e-11,1.47256462579293e-09,2.96289964785146e-10
pass,X1-1,X2-1,X3-1,X4-1,X5-1,0.034876121,67,34,105,3.0,2.0,0.45,8,1600,10,0.8,lot74,12,1129,Center,0.999971389770508,1.08409278709587e-06,5.02420471093501e-06,2.43834051616432e-07,1.9607588910730606e-05,8.40860039375002e-08,2.13936959880812e-06,4.66594372028339e-07
pass,X1-1,X2-1,X3-1,X4-1,X5-1,0.079236967,176,187,200,8.0,6.0,0.75,8,216,10,0.8,lot75,25,776,Center,0.999884366989136,6.231704787751372e-07,3.9850879147707e-06,1.4034546325092402e-07,0.000108170599560253,6.50231655185962e-08,1.7979730273509601e-06,7.75990599777288e-07
pass,X1-1,X2-1,X3-1,X4-1,X5-1,0.113287975,176,187,200,8.0,6.0,0.75,8,216,10,0.8,lot75,20,776,Center,0.9980870485305792,2.04677253350383e-05,0.00128874799702317,1.96695837075822e-05,0.000447559432359412,8.48800300445873e-06,0.000105693601653911,2.23221031774301e-05
pass,X1-1,X2-1,X3-1,X4-1,X5-1,0.113777929,176,187,200,8.0,6.0,0.75,8,216,10,0.8,lot75,25,776,Center,0.999634623527527,2.8693768854282106e-06,2.1326886781025695e-05,7.76532544932707e-07,0.000327190675307065,4.16286610516181e-07,9.02546435099794e-06,3.87771524401614e-06
pass,X1-1,X2-1,X3-1,X4-1,X5-1,0.114021425,176,187,200,8.0,6.0,0.75,8,216,10,0.8,lot75,2,533,Center,0.999685883522034,1.2867778877989599e-06,3.19305836455897e-05,4.98115184655035e-07,0.000273248471785337,1.7441503530335501e-07,3.8698931348335514e-06,3.0815340323897493e-06
pass,X1-1,X2-1,X3-1,X4-1,X5-1,0.116497659,176,187,200,8.0,6.0,0.75,8,216,10,0.8,lot78,16,939,Center,0.999916911125183,3.4721630015610605e-09,7.356744902153879e-08,2.54210513750408e-10,8.2947728515137e-05,5.49101215885361e-11,2.16906936856276e-08,1.05227391244966e-08
pass,X1-1,X2-1,X3-1,X4-1,X5-1,0.132007859,176,187,105,8.0,6.0,0.75,8,216,10,0.8,lot78,17,939,Center,0.999977111816406,5.92264459697844e-09,7.69617614082563e-08,5.60323176745925e-10,2.2730411728844e-05,1.29510430157964e-10,2.3986915564933e-08,2.9705415904857107e-09
pass,X1-1,X2-1,X3-1,X4-1,X5-1,0.140517005,176,187,200,8.0,6.0,0.75,8,216,10,0.8,lot78,14,939,Center,1.0,5.14660987438464e-11,4.54355886247981e-10,2.8335833679449303e-11,1.17349472361639e-08,4.3717026526612896e-12,2.91308599464912e-09,3.48924500404024e-11
pass,X1-1,X2-1,X3-1,X4-1,X5-1,0.141805394,176,187,200,8.0,6.0,0.75,8,216,10,0.8,lot81,23,776,Center,0.9995102882385252,9.15969508241687e-07,5.6388130360574e-06,2.993039061038869e-07,0.000476330111268908,1.4159299155380699e-07,4.61659556094674e-06,1.7053506553566003e-06
